,ID,NFTREP_V1,SPEAKER_ETHCC_PARIS23,STUDY_GROUP_HOST_C2_22_23,ETHCC_23,FUND_AUTHOR,STUDY_GROUP_HOST_360_22,STUDY_GROUP_HOST_FUND_22_23,SPEAKER_BARCAMP_PARIS_23,BARCAMP_PARIS_23,TEAM_BARCAMP_PARIS_23,FUND_MOD_1,FUND_MOD_2,FUND_MOD_3,FUND_MOD_4,FUND_MOD_5
0,0xbb8743ea733155fe5e81ed285aea72cc19b2ca87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0x049debbad61a20e21e872b06ef4f25be1253c802,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
2,0xa481db1ac55683dfb2847c02e417b7e411bcbbea,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3,0x024bd3d1c3b6ba2277a744d7a99fbade9404a370,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4,0xa0b026b4b9e19ff2cbf5afbd9a679d93dedc2242,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5,0xfb2069bf55eb844694d8028df74dafe550821ffc,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6,0x222cf246a3d56d61030ca49f5e6ffd6c20c3dc4f,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7,0x5658f4b362e95c0bc32d5ce0051457882db92ee5,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
8,0x6697aeedc3eadbcfb25962c2045aedf438b4c1f2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
9,0x6a7becf86b56fb68c948cb0a9fe9961370079190,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
10,0xc8eba9130f40a0ea9be530407e5b4f7199118864,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
11,0x6e3556f2c8f29559ed67642a1813b177f1871613,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
12,0x278a4bd5a8d09bcf11b1052ec3129a7efa75d213,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
13,0x28ddb1f987f1d433eb82eef644b006741977f456,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
14,0xfcbc07905fee2d64025461b8ddb27f77f256827f,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0
15,0xa587b5aa3ddf49559cde74140456bf65d716f30a,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
16,0x6120faa647cd26cd6b2c1df880eff537065c6815,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
17,0x6d465d2081b799770d0ce7e755d8db1665903ffb,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
18,0x3b067af83f540cb827825a6ee5480441a4237e77,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
19,0x6a5cce4ac8b280ba789eb2e2bd3895b46133e5d4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
20,0x58e39293ec6ce3f4d49c9a44bb76bd3e9b300130,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
21,0xc12abc0ce980c0949ec132e01dfa21eeab76b57b,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
22,0xcf653e70110315ddb9a11ae4fc36c6716e367a14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,0x0eafb78d216a4d9ae725d3ef087143808695445c,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
24,0x79219e0514a0ed8b495c1bba0180cd12cde40242,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
25,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
26,0x26cee1c87b7910c42ac83a3b617c2932f13b9044,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
27,0xee8bcf545bf80682b78d99f65742d34166cb0405,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
28,0x071903cc9a767a845fcd3ab7373e4d5328522481,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
29,0x9b9c0732cfecbd446eec92ba53dec31f2c9d88b1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
30,0x4b8aa2db33df252cb0087de8d170d652e92eba02,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
31,0x1309df760d05a7e9ba396d9a6f8dd4305c4d25bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,0x1c651c3fedbf95307fb7a3a2fc07bc1e0753e5a9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
33,0x033e64537940e0602e8f27f571d93904c0009486,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
34,0x0e272eceadbf50541f0a5c740082f177baf214d4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,0x74fb4ba94a01b31424b5e1ab0d3ceff0ce6e6530,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
36,0x1210ba92eb82cc256213c78f0ef9d5212c7034a9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
37,0x06b3b315cbf8b6f639508911976e2a58f1729e3b,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,0x4bce1d711ea4e033ad5e7d48d2f63fb24fe4b5e3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
39,0x8242269882cd61de8ac878ac47d2a7432fc7bdee,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
40,0x7ee9033aad1d11a80f1c1e8d769feacbc97416db,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
41,0x2408a5b5a0c0e47cbe8f3b8c92b4361958b371e4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
42,0x6292b5752db4aeb894428296accd3b707fd63b37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,0xd0ceca3064bd0f33483885f60ef40a71c125c638,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
44,0x1e5e0982e0b81f041f4b2668e8e1f300682b6ffa,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
45,0x88bde89f94b5e5dd1ef3c054a39961bcbb33bc44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
46,0xe21a9bc92838fedb1f1b7a601f526816f28871c2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
47,0x148d424f74c323d3950a8562760aa76e4c58615b,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1
48,0x7003849fc9f3c70b5e90619f01522be94a38816f,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
49,0x27cdf5ca6cd49abd44fa030decf743b730310443,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
50,0xf9278a270d2100ea5e76e8d85ac712b2cb7ec685,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
51,0x9f771f779b88178de06291a2caa8e4bdc56dc184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
52,0xdecc4ac78838d0178a418349b8ce6205f3c1905e,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
53,0x7137931f8e93928e835ec0946a8b78a8a8887900,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
54,0xfeee0f97af25b988e10417b3988e7720772e584a,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
55,0x8a79889c80e0e0ae07151acdc4537ffbace553f1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
56,0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
57,0x912a7f5845f3fa8de3cb55772a3ba9c40d8e3aaa,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
58,0xe3a17b05f01c1b28585ba2341ede238641cf32e7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
59,0x358d930d71fa424ba4fee2a48a2e87fda55993e1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
60,0x3e0cf03f718520f30300266dcf4db50ba12d3331,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
61,0xb9c62c6b68fa76bb5dad4279074ebdb6d72e3fec,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
62,0x85524e962b11cb82ea7baf3a00ceff92c6368db2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
63,0x0b04f285b418ac07f12b7f60064d91d88f52c681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,0x58ba947570d2f9b79882c444170a30827000b33a,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
65,0x18e2728b00678f886150caac59ce468b7f7a7af9,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
66,0xc68844831cd4af961eafb5bdffefa4fe698b70a2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
67,0x8b9c66ff418aaddae7974ea006859e8ba8374aa3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,0x3e31155a1c17c9f85e74828447aec412090a4622,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
69,0x01d517d706494ee4b01cbc8c699b529cd150edea,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
70,0xb6b774dcbd3091fd2a0423a201791d07700c25ef,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
71,0x560fbf887a1c98ae68ce71f018772d771d067781,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
72,0xa770a33cbf2e97a0eaed41afabddb997661cc24a,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
73,0x09e083c5653172131e1eef9a92e1eef64d86b154,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
74,0x336f3ca6cad963a70b8b64fade48c39a8de03b44,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
75,0xd26cf287da6ae872dd14a0151e2ee30a465990e8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
76,0x35b2a533f02234342d9352fb9fbc1ee0c1703198,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
77,0xbbc9368898422cc9ffabef8ea66210d3d011512f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
78,0x78390edbd4d560bcb3531d885058012041de24cb,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
79,0xba0e393d0d47ae81a22f27d68bac043bb64ddb31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
80,0x72f2c4dd290d1c08d5763c812028655cbde3fb53,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
81,0xb13a55d8512aec4bf7b15067d733c4c3c68f2439,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
82,0xb78d439ba83baced629310207a215900e02d84a4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
83,0xeaa24cde31a65ac72dff0ea673735d70625cf78a,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
84,0xfc0bbfe1e6391ad733b0016d41e50cfa2725717e,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
85,0xd3dbe133af71345a9a69894db354161ea7f441e9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
86,0x4f766bfd800e0ff3260635fdd5fe8cfb666828d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,0xc9d94be541ef24cd2e402dd5f6d15676d08474f7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
88,0xe64063c7688db1ac863d0daa3dbca41ab4e6b465,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
89,0x4ff9371b4db3f0771e34f6cf4bd33312bc993e0a,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
90,0xb41ce218c36c7d95059bb21f82a6a720546cef29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
91,0x51bef0ecac2dbbbbeff5c39d02e4ac49995185f1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
92,0x0230b092ff54c1c7f17da5daa598117abe3e5715,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
93,0x0ce681173619e2599713ccc1c18779d6109671f1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
94,0x18c5a9d555d197c9c42e63ca646716efdc20c676,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
95,0x0e950e75b652878e6a3d3ecb6e5797452a918a05,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1
96,0xd6c197afb2d3f0c2549bb542b49ed089faca780f,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
97,0xcd8e1e3a577049f4e138db9f46a46a7e7bf3535d,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
98,0x325173bc8c0f68ea1384de0377786ea3284cf2fb,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
99,0xe9cc651f1cfaf869b88e8ba945c15e1d9c609ab5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
100,0x82f9be60fc43ce39bbe40df22039380935ff58c8,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
101,0x47f793e8af738f4b61d7e2d207c6d29c713d1a84,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1
102,0x4a16fc2d0826b50bbba9f4a1729f2e56cfca509d,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
103,0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
104,0x91ab8278d8e018b79657c9c0d9abc876be4f9787,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
105,0x3e13da66f07b4b51f6496d4c6a7eeda50416692a,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
106,0x4fbfadf58cf32e7c616ed09d74318fe30c7071d4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
107,0x6100c2ec0b1a0800dd246a7c6a922c21252be392,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
108,0xb2523a5a54813ff3acfef0b00f442a4ebba06ace,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
109,0x4c5b9006ac613ed4805f38b460c85484231f5ee4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
110,0x7cdacc2e58c4daf29ab871958a714ef7398fa368,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
111,0x9ccebdb9c9871b0b8c18fe43f90760c83060bfba,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
112,0x0e5c4c325ba0cf3ebc82f0b15c318d6620e896a7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
113,0xfe161714d95ff338482b0200c2857cfa5e77a789,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
114,0x0cb0f554a2e8a5b7b5634f37840b037214925815,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
115,0x45a337477fe38793d90db641eecf8c5c624f062a,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
116,0x11b064a8ac721ee4a706c07128433548b8d2151b,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
117,0x8498ff79c6bb9e32ce2fd07b542a84173946e50c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,0x955cf0ccbcedcfc85fa0796cc776354b46a10fbb,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
119,0xcf2b46eec11927951aba257ed877786924fa28e6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
120,0x1f2b12286864d5439500400b3609c659fb3c665a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,0x7d1f3ed0d2e42809779255846cf0a1b1eb8a21d2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
122,0xef8347476de8dca8639af6f065e96361cd656a3c,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
123,0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,0x1a95a5815fb8d1e581811725e45fd70ff02839bc,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
125,0xd1a317989c846e42f64128daebd975f857068a8c,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
126,0x579955b31fbdbff16a9760d5f5e869ba36431e2d,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
127,0xc710f3da5ea5ae7b060166942185458c60c0434f,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
128,0x826ab98b58cf43c30644fae1221dd641ec04811b,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
129,0x0a412418c71c80a882ca276acdd85e8be791857d,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
130,0xc210c735b22ba9ca5254ce0f028a01e335e86e33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,0x7e1f8358943580724290277167b86ab4734752fe,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
132,0x0a23aaa56d700701b69580f574d35850a4127bd9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,0x75b41d90281f8dcc624067763d7281e3086acae9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
134,0xbda4446d94d907fee2f6b7846a0320045a2e9949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,0x1f7972a40f8129a311e6c6a089f87347adc0e244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,0xc02b76a3724eb40742e195b9d0852d7068d806ba,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
137,0xa39b12ccbd66c3b4624d7eda1ac0a3a8ae830bc0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
138,0xb617f96eca626ff094169ac160452c082af23284,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
139,0x0afbea5597875c33047ab0004575f636e652c49e,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
140,0x88244475fbda5a3dc68e505689f5d2caeed1fc91,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
141,0xb2de5bfbfa82101c05be100b35b144b2957936e3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
142,0xfe30968b465f7218a633815188170b01298d76e5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
143,0x4daa278b8f90b86fb70859051911003790f4de57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
144,0x9ba961989dd6609ed091f512be947118c40f2291,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0
145,0x44a60575bafadbf1471d628e7a8bdad64e2e7d5f,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
146,0x89ff8e27b92c3cf36bef6580d11e1921ea6fa93e,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
147,0x64126292849b237fc3e18a81d23a3d0e4fa9e076,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
148,0x27a887bf8451c6da18ba34b548a31b6158b9b911,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
149,0xb9ac581718457ec635fdfb502a7c2094cc5066d1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
150,0x22358b377c4ae6a5ed9d584ed94a1458af6d32bc,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
151,0x2be3ff0c9ecfaa1258b2a389a44710417cf32687,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
152,0x3fa226fd1a10bc11d51ccf93d79638ca28e67470,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
153,0xdc56eabdb4213c8ce1c86a4806e94d286d2ca4e6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
154,0x270de0ae1bef06d1de5cdbdcf411357f5784ed2e,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
155,0x161447bb4c05d96eb1c7bf91500baf41c9929682,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
156,0xfcfb906c19b4fccf6e958fb36dff6486e9f259c5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
157,0xb0df3d82e4c844afa65b0bef52c340e9cd9660f8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
158,0x5f2e410e0d06e2dd8d3867e6eb5a0dd660cbec01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
159,0x536299a4fcf0d1d492596c2c816fc20f3f7ec557,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,0x30518e38c70a5f686b38eedad342aa2c943d7c6b,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
161,0xdee4fbf0b62febe20000826eaeb939e2cc7876b4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
162,0x2f526aaba4d27eedc11564eb2113c803b76d5f80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
163,0x4be1a00747fb56b44a62eba5b23c2f3e8018c783,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
164,0x299b960a7c82635dcbf5342a032a38003709d7df,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
165,0x9efcbd3f929aa8f6de2dfda63e97e85cc4758ada,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
166,0x7581b02ab484aa73e1351fd455b740bc06503d71,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
167,0xf5616bd7d99083f59191bd888b2535069202162e,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
168,0x5aae22f14eca19fb5a19be0004276aa375f255a3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
169,0xb0e7e1d7e3ad1e7c6ce3bad881ed95aea0df7713,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
170,0xd2e763a502c36ec1f9335d1aa9ebcafc29eada94,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
171,0x2326085e6753be00097d0c2679229441dfbe9635,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
